transaction_id,account_id,transaction_type,amount,timestamp
50001,1001,DEBIT,500,2026-06-01 10:30:00
50002,1001,CREDIT,2000,2026-06-01 11:00:00
50003,1003,DEBIT,100,2026-06-02 09:15:00
5001,1001,CREDIT,1037,2025-07-14 00:05:52
5002,1001,DEBIT,4046,2025-11-20 13:11:20
5003,1001,CREDIT,4086,2025-08-07 04:14:20
5004,1001,DEBIT,2476,2026-02-14 23:07:36
5005,1001,CREDIT,4016,2026-02-25 07:39:22
5006,1002,CREDIT,4132,2026-03-05 22:01:47
5007,1002,DEBIT,4028,2026-05-29 21:52:36
5008,1002,CREDIT,1637,2026-01-14 02:15:07
5009,1002,DEBIT,4048,2026-06-04 07:16:51
5010,1002,CREDIT,1719,2025-07-25 12:47:58
5011,1002,DEBIT,240,2025-07-31 10:33:19
5012,1002,DEBIT,529,2026-06-07 18:49:32
5013,1003,CREDIT,3053,2026-04-02 23:06:57
5014,1003,CREDIT,2514,2026-02-02 21:30:21
5015,1003,CREDIT,4841,2026-06-18 05:46:17
5016,1001,CREDIT,1646,2026-04-18 06:41:53
5017,1001,CREDIT,2416,2025-12-22 17:13:25
5018,1001,CREDIT,3411,2025-08-29 12:34:50
5019,1001,DEBIT,2612,2026-04-01 19:41:13
5020,1001,DEBIT,3237,2026-06-01 19:18:50
5021,1001,CREDIT,438,2025-11-26 09:27:51
5022,1001,DEBIT,2735,2025-12-04 05:45:53
5023,1001,CREDIT,2329,2026-02-28 17:19:06
5024,1001,DEBIT,1842,2026-03-17 16:24:18
5025,1002,CREDIT,1664,2026-04-13 22:50:30
5026,1002,DEBIT,520,2025-07-24 06:21:50
5027,1002,CREDIT,1850,2025-10-07 06:37:27
5028,1002,CREDIT,1335,2025-08-20 00:37:32
5029,1002,CREDIT,1958,2025-10-23 12:23:11
5030,1002,DEBIT,2758,2026-01-01 21:35:39
5031,1002,DEBIT,616,2025-11-04 05:35:59
5032,1002,DEBIT,2933,2026-02-25 11:37:12
5033,1002,DEBIT,1468,2026-06-01 12:52:13
5034,1003,CREDIT,337,2026-01-12 12:23:16
5035,1003,CREDIT,3400,2025-07-23 07:28:43
5036,1004,CREDIT,1708,2025-07-31 07:10:16
5037,1004,CREDIT,3560,2026-03-14 23:58:24
5038,1004,CREDIT,1863,2026-01-25 02:53:09
5039,1005,DEBIT,310,2025-07-06 03:20:30
5040,1005,DEBIT,4715,2025-11-04 10:22:59
5041,1005,DEBIT,1667,2025-08-03 10:12:28
5042,1005,CREDIT,2248,2026-01-31 20:55:31
5043,1005,DEBIT,2909,2025-07-27 02:18:54
5044,1005,DEBIT,4282,2026-06-02 22:39:06
5045,1006,DEBIT,284,2026-02-28 23:10:19
5046,1006,CREDIT,3417,2025-07-13 21:16:57
5047,1006,DEBIT,2764,2026-02-10 15:59:13
5048,1006,CREDIT,4485,2025-12-03 21:05:20
5049,1006,DEBIT,3380,2025-12-19 10:01:27
5050,1006,CREDIT,3747,2025-11-19 07:36:11
5051,1006,CREDIT,1502,2025-12-17 14:21:10
5052,1007,CREDIT,4397,2025-11-27 09:27:33
5053,1007,CREDIT,1158,2026-04-18 19:48:11
5054,1007,DEBIT,4001,2026-03-25 23:31:37
5055,1007,CREDIT,245,2025-09-18 09:52:28
5056,1007,CREDIT,2379,2026-05-21 07:30:24
5057,1007,DEBIT,2399,2025-10-06 01:23:04
5058,1007,DEBIT,101,2025-10-29 23:06:54
5059,1007,DEBIT,3620,2026-05-14 22:19:24
5060,1008,DEBIT,1511,2026-01-09 00:53:21
5061,1008,DEBIT,4643,2026-06-10 02:07:44
5062,1008,DEBIT,3585,2025-08-11 19:46:17
5063,1008,CREDIT,3356,2025-09-02 17:02:14
5064,1008,CREDIT,1252,2025-07-14 03:44:36
5065,1008,DEBIT,4718,2025-06-19 00:20:00
5066,1008,CREDIT,108,2026-05-27 11:21:12
5067,1008,CREDIT,1653,2026-01-18 15:24:36
5068,1008,CREDIT,3227,2026-06-07 04:09:38
5069,1008,CREDIT,4122,2025-06-23 00:01:08
5070,1009,CREDIT,943,2025-08-09 14:05:13
5071,1009,CREDIT,2993,2025-08-17 17:26:07
5072,1009,DEBIT,4431,2026-05-20 11:05:43
5073,1009,DEBIT,1651,2026-06-10 00:12:01
5074,1009,CREDIT,3949,2025-10-25 12:13:37
5075,1009,CREDIT,2433,2025-06-30 06:15:45
5076,1009,DEBIT,3785,2025-10-05 09:23:02
5077,1009,DEBIT,4454,2025-10-01 10:04:42
5078,1009,DEBIT,1813,2025-12-15 11:14:09
5079,1009,DEBIT,3092,2026-01-10 01:35:39
5080,1010,DEBIT,3619,2025-07-08 21:48:24
5081,1010,CREDIT,4719,2026-03-27 11:49:28
5082,1010,DEBIT,3059,2025-12-12 00:58:12
5083,1010,DEBIT,4647,2026-05-01 08:14:29
5084,1011,CREDIT,1203,2026-06-11 16:08:20
5085,1011,DEBIT,1773,2026-06-17 02:13:29
5086,1011,CREDIT,4817,2026-01-04 18:08:42
5087,1011,DEBIT,3827,2026-02-02 02:05:35
5088,1011,DEBIT,3285,2026-01-11 06:40:07
5089,1012,DEBIT,4921,2026-01-04 05:42:23
